Date,JABAX
1994-03-18,3.482194775
1994-03-21,3.470989922
1994-03-22,3.470989922
1994-03-23,3.473789763
1994-03-24,3.454179899
1994-03-25,3.445777632
1994-03-28,3.434570034
1994-03-29,3.417762755
1994-03-30,3.400952732
1994-03-31,3.39254772
1994-04-04,3.372841782
1994-04-05,3.406626526
1994-04-06,3.409440092
1994-04-07,3.423518898
1994-04-08,3.409440092
1994-04-11,3.420702588
1994-04-12,3.420702588
1994-04-13,3.412256402
1994-04-14,3.412256402
1994-04-15,3.412256402
1994-04-18,3.406626526
1994-04-19,3.39818034
1994-04-20,3.39254772
1994-04-21,3.415072712
1994-04-22,3.406626526
1994-04-25,3.420702588
1994-04-26,3.417886278
1994-04-28,3.415072712
1994-04-29,3.417886278
1994-05-02,3.420702588
1994-05-03,3.417886278
1994-05-04,3.415072712
1994-05-05,3.415072712
1994-05-06,3.39818034
1994-05-09,3.378471658
1994-05-10,3.386917844
1994-05-11,3.375655348
1994-05-12,3.381287968
1994-05-13,3.384101534
1994-05-16,3.384101534
1994-05-17,3.406626526
1994-05-18,3.43477865
1994-05-19,3.443224836
1994-05-20,3.43759496
1994-05-23,3.429148774
1994-05-24,3.431965084
1994-05-25,3.43477865
1994-05-26,3.443224836
1994-05-27,3.448857456
1994-05-31,3.44041127
1994-06-01,3.448857456
1994-06-02,3.457303642
1994-06-03,3.474196014
1994-06-06,3.474196014
1994-06-07,3.465749828
1994-06-08,3.462933518
1994-06-09,3.462933518
1994-06-10,3.462933518
1994-06-13,3.462933518
1994-06-14,3.468563394
1994-06-15,3.454487332
1994-06-16,3.454487332
1994-06-17,3.446041146
1994-06-20,3.420702588
1994-06-21,3.400993906
1994-06-22,3.412256402
1994-06-23,3.39536403
1994-06-24,3.378471658
1994-06-27,3.39536403
1994-06-28,3.39818034
1994-06-29,3.39818034
1994-06-30,3.384101534
1994-07-01,3.395410694
1994-07-05,3.398237984
1994-07-06,3.401065274
1994-07-07,3.406719854
1994-07-08,3.392583404
1994-07-11,3.389756114
1994-07-12,3.395410694
1994-07-13,3.398237984
1994-07-14,3.406719854
1994-07-15,3.412374435
1994-07-18,3.418029015
1994-07-19,3.412374435
1994-07-20,3.406719854
1994-07-21,3.412374435
1994-07-22,3.415201725
1994-07-25,3.412374435
1994-07-26,3.409547144
1994-07-27,3.403892564
1994-07-28,3.403892564
1994-07-29,3.420856305
1994-08-01,3.426510885
1994-08-02,3.429338175
1994-08-03,3.44064459
1994-08-04,3.420856305
1994-08-05,3.406719854
1994-08-08,3.409547144
1994-08-09,3.409547144
1994-08-10,3.412374435
1994-08-11,3.415201725
1994-08-12,3.423683595
1994-08-15,3.420856305
1994-08-16,3.443471881
1994-08-17,3.449126461
1994-08-18,3.449126461
1994-08-19,3.449126461
1994-08-22,3.44064459
1994-08-23,3.454781041
1994-08-24,3.460435621
1994-08-25,3.454781041
