Date,TRBCX
1995-02-03,8.761412808
1995-02-06,8.821523902
1995-02-07,8.814011826
1995-02-08,8.821523902
1995-02-09,8.80649975
1995-02-10,8.844067373
1995-02-13,8.859098768
1995-02-14,8.874122919
1995-02-15,8.911697786
1995-02-16,8.911697786
1995-02-17,8.866610844
1995-02-21,8.889154315
1995-02-22,8.911697786
1995-02-23,8.971808879
1995-02-24,9.009376501
1995-02-27,8.956777484
1995-02-28,9.016888577
1995-03-01,9.009376501
1995-03-02,9.001864426
1995-03-03,9.016888577
1995-03-06,9.024407897
1995-03-07,8.964296803
1995-03-08,8.979320955
1995-03-09,8.979320955
1995-03-10,9.069487595
1995-03-13,9.092031066
1995-03-14,9.159661479
1995-03-15,9.137118008
1995-03-16,9.189717026
1995-03-17,9.197229101
1995-03-20,9.197229101
1995-03-21,9.204741177
1995-03-22,9.204741177
1995-03-23,9.197229101
1995-03-24,9.294915061
1995-03-27,9.347514079
1995-03-28,9.36253823
1995-03-29,9.347514079
1995-03-30,9.324970608
1995-03-31,9.302427137
1995-04-03,9.302427137
1995-04-04,9.317451288
1995-04-05,9.324970608
1995-04-06,9.339994759
1995-04-07,9.332482684
1995-04-10,9.332482684
1995-04-11,9.309939213
1995-04-12,9.339994759
1995-04-13,9.370050306
1995-04-17,9.339994759
1995-04-18,9.309939213
1995-04-19,9.264859515
1995-04-20,9.279883666
1995-04-21,9.317451288
1995-04-24,9.36253823
1995-04-25,9.36253823
1995-04-26,9.347514079
1995-04-27,9.370050306
1995-04-28,9.370050306
1995-05-01,9.355026155
1995-05-02,9.400113097
1995-05-03,9.482767661
1995-05-04,9.490279737
1995-05-05,9.497791813
1995-05-08,9.55039083
1995-05-09,9.572934301
1995-05-10,9.595477772
1995-05-11,9.618021243
1995-05-12,9.602989848
1995-05-15,9.655588866
1995-05-16,9.670613017
1995-05-17,9.64055747
1995-05-18,9.527847359
1995-05-19,9.520335284
1995-05-22,9.565422226
1995-05-23,9.64055747
1995-05-24,9.663100941
1995-05-25,9.663100941
1995-05-26,9.595477772
1995-05-30,9.580446377
1995-05-31,9.685644412
1995-06-01,9.715699959
1995-06-02,9.730731355
1995-06-05,9.775811053
1995-06-06,9.805866599
1995-06-07,9.775811053
1995-06-08,9.775811053
1995-06-09,9.715699959
1995-06-12,9.768298977
1995-06-13,9.881009088
1995-06-14,9.881009088
1995-06-15,9.881009088
1995-06-16,9.911064635
1995-06-19,10.00123852
1995-06-20,10.00875059
1995-06-21,10.00875059
1995-06-22,10.08389308
1995-06-23,10.04631822
1995-06-26,9.963663653
1995-06-27,9.903552559
1995-06-28,9.941120181
1995-06-29,9.963663653
1995-06-30,10.01626267
1995-07-03,10.04631822
1995-07-05,10.05383754
1995-07-06,10.10642931
1995-07-07,10.1815718
1995-07-10,10.21162735
1995-07-11,10.18909112
1995-07-12,10.26422636
1995-07-13,10.27925776
1995-07-14,10.24920221
1995-07-17,10.27925776
1995-07-18,10.22665874
1995-07-19,10.08389308
1995-07-20,10.1364921
1995-07-21,10.15151625
1995-07-24,10.18909112
1995-07-25,10.26422636
1995-07-26,10.32433746
1995-07-27,10.41451134
1995-07-28,10.40699927
1995-07-31,10.41451134
1995-08-01,10.38445579
1995-08-02,10.38445579
1995-08-03,10.35440025
1995-08-04,10.3694244
1995-08-07,10.38445579
1995-08-08,10.40699927
1995-08-09,10.39196787
1995-08-10,10.39947995
1995-08-11,10.34688093
1995-08-14,10.40699927
1995-08-15,10.41451134
1995-08-16,10.43705481
1995-08-17,10.45959104
1995-08-18,10.47462243
1995-08-21,10.47462243
1995-08-22,10.48965383
1995-08-23,10.48213451
1995-08-24,10.48965383
1995-08-25,10.51219006
1995-08-28,10.50467798
1995-08-29,10.49716591
1995-08-30,10.53473353
1995-08-31,10.54976492
1995-09-01,10.57982047
1995-09-05,10.65496296
1995-09-06,10.69253058
1995-09-07,10.66998711
1995-09-08,10.72258613
1995-09-11,10.7451296
1995-09-12,10.80524069
1995-09-13,10.84281556
1995-09-14,10.92547012
1995-09-15,10.92547012
1995-09-18,10.90292665
1995-09-19,10.94049427
1995-09-20,10.97806914
1995-09-21,10.94049427
