Date,PTTRX
11/27/1989,1.316725271
11/28/1989,1.316725271
11/29/1989,1.315441368
11/30/1989,1.324394632
12/1/1989,1.326982048
12/4/1989,1.326982048
12/5/1989,1.326982048
12/6/1989,1.324394632
12/7/1989,1.32310144
12/8/1989,1.325687824
12/11/1989,1.324394632
12/12/1989,1.325687824
12/13/1989,1.325687824
12/14/1989,1.326982048
12/15/1989,1.326982048
12/18/1989,1.329568431
12/19/1989,1.328275239
12/20/1989,1.328275239
12/21/1989,1.326982048
12/22/1989,1.325687824
12/26/1989,1.316634448
12/27/1989,1.316634448
12/28/1989,1.31792764
12/29/1989,1.32709764
1/2/1990,1.326389636
1/3/1990,1.324055079
1/4/1990,1.325654797
1/5/1990,1.325225453
1/8/1990,1.324193377
1/9/1990,1.32450816
1/10/1990,1.324808494
1/11/1990,1.325109861
1/12/1990,1.322088973
1/15/1990,1.322389307
1/16/1990,1.316141116
1/17/1990,1.316443514
1/18/1990,1.310194291
1/19/1990,1.31371264
1/22/1990,1.314014006
1/23/1990,1.315634366
1/24/1990,1.309387207
1/25/1990,1.307068131
1/26/1990,1.301422673
1/29/1990,1.303034776
1/30/1990,1.302024373
1/31/1990,1.30494515
2/1/1990,1.306574799
2/2/1990,1.304864648
2/5/1990,1.303859406
2/6/1990,1.301527945
2/7/1990,1.300519606
2/8/1990,1.303470313
2/9/1990,1.312324497
2/12/1990,1.308679203
2/13/1990,1.310314012
2/14/1990,1.310627763
2/15/1990,1.306984533
2/16/1990,1.308244699
2/20/1990,1.2980065
2/21/1990,1.298331604
2/22/1990,1.302603368
2/23/1990,1.30487084
2/26/1990,1.309143637
2/27/1990,1.312099504
2/28/1990,1.30845421
3/1/1990,1.303446575
3/2/1990,1.308359259
3/5/1990,1.300703316
3/6/1990,1.303667439
3/7/1990,1.305300184
3/8/1990,1.305611871
3/9/1990,1.301228642
3/12/1990,1.301536201
3/13/1990,1.296532694
3/14/1990,1.299505075
3/15/1990,1.301147108
3/16/1990,1.306009221
3/19/1990,1.305022556
3/20/1990,1.309317026
3/21/1990,1.309627681
3/22/1990,1.311285196
3/23/1990,1.310890943
3/26/1990,1.312535041
3/27/1990,1.312851888
3/28/1990,1.313164607
3/29/1990,1.3095028
3/30/1990,1.307444839
4/2/1990,1.306760573
4/3/1990,1.308421184
4/4/1990,1.310075602
4/5/1990,1.313067592
4/6/1990,1.314022263
4/9/1990,1.313007732
4/10/1990,1.313333868
4/11/1990,1.31231624
4/12/1990,1.31226154
4/16/1990,1.309901181
4/17/1990,1.303532237
4/18/1990,1.299835339
4/19/1990,1.297477044
4/20/1990,1.29441797
4/23/1990,1.293393118
4/24/1990,1.29237033
4/25/1990,1.29272846
4/26/1990,1.287693991
4/27/1990,1.288633181
4/30/1990,1.28895106
5/1/1990,1.28926894
5/2/1990,1.288234799
5/3/1990,1.291247431
5/4/1990,1.304349642
5/7/1990,1.30602367
5/8/1990,1.307685313
5/9/1990,1.303974998
5/10/1990,1.306982469
5/11/1990,1.320072295
5/14/1990,1.32578071
5/15/1990,1.323407967
5/16/1990,1.322383115
5/17/1990,1.322690673
5/18/1990,1.320956785
5/21/1990,1.321270536
5/22/1990,1.325632091
5/23/1990,1.328644723
5/24/1990,1.328969827
5/25/1990,1.326200766
5/29/1990,1.329234038
5/30/1990,1.330901874
5/31/1990,1.331246588
6/1/1990,1.343092762
6/4/1990,1.344809105
6/5/1990,1.342435329
6/6/1990,1.342787267
6/7/1990,1.344465424
6/8/1990,1.345426287
6/11/1990,1.344402467
6/12/1990,1.344726539
6/13/1990,1.349133506
6/14/1990,1.352180195
6/15/1990,1.347731946
6/18/1990,1.344008214
6/19/1990,1.344352927
6/20/1990,1.341954381
6/21/1990,1.34228671
6/22/1990,1.344645005
6/25/1990,1.34225678
6/26/1990,1.34396177
6/27/1990,1.345666761
6/28/1990,1.350068567
6/29/1990,1.353795395
7/2/1990,1.35550245
7/3/1990,1.357540801
7/5/1990,1.359244759
7/6/1990,1.352012999
7/9/1990,1.349613421
7/10/1990,1.34994575
7/11/1990,1.351663125
7/12/1990,1.356115503
7/13/1990,1.359827882
7/16/1990,1.361515327
7/17/1990,1.361847656
7/18/1990,1.358089866
7/19/1990,1.358434579
7/20/1990,1.360794938
7/23/1990,1.363849885
7/24/1990,1.361423473
7/25/1990,1.363103693
7/26/1990,1.364767401
7/27/1990,1.369737881
7/30/1990,1.375509253
7/31/1990,1.375834357
8/1/1990,1.383011417
8/2/1990,1.376385486
8/3/1990,1.374505042
8/6/1990,1.356888528
8/7/1990,1.351652804
8/8/1990,1.350531969
8/9/1990,1.353574531
8/10/1990,1.355833746
8/13/1990,1.357526352
8/14/1990,1.359221021
8/15/1990,1.360891953
8/16/1990,1.354281503
8/17/1990,1.353813973
8/20/1990,1.352713779
8/21/1990,1.350264661
8/22/1990,1.346470748
8/23/1990,1.341272179
8/24/1990,1.33942373
8/27/1990,1.349402878
8/28/1990,1.346970273
8/29/1990,1.351396849
8/30/1990,1.351660029
8/31/1990,1.354204097
9/4/1990,1.353100808
9/5/1990,1.357602725
9/6/1990,1.357930926
9/7/1990,1.36158138
9/10/1990,1.357678067
9/11/1990,1.357952599
9/12/1990,1.359665846
9/13/1990,1.359949667
9/14/1990,1.358179656
9/17/1990,1.357093912
9/18/1990,1.354638602
9/19/1990,1.356300245
9/20/1990,1.356574777
9/21/1990,1.353354699
9/24/1990,1.346753537
9/25/1990,1.347108572
9/26/1990,1.348802209
9/27/1990,1.35054229
9/28/1990,1.355606689
10/1/1990,1.362989133
10/2/1990,1.366136966
10/3/1990,1.366518834
10/4/1990,1.36831568
10/5/1990,1.369366333
10/8/1990,1.369735817
10/9/1990,1.360320183
10/10/1990,1.356468473
10/11/1990,1.35400181
10/12/1990,1.357877258
10/15/1990,1.361005482
10/16/1990,1.361356388
10/17/1990,1.363123303
10/18/1990,1.369064967
10/19/1990,1.374270761
10/22/1990,1.373207722
10/23/1990,1.372118881
10/24/1990,1.37245121
10/25/1990,1.375576338
10/26/1990,1.377800463
10/29/1990,1.373899213
10/30/1990,1.372768058
10/31/1990,1.374431765
11/1/1990,1.378968773
11/2/1990,1.379883193
11/5/1990,1.385843435
11/6/1990,1.38474737
11/7/1990,1.380850249
11/8/1990,1.379741799
11/9/1990,1.384929015
11/12/1990,1.389505242
11/13/1990,1.392644819
11/14/1990,1.39721279
11/15/1990,1.396154911
11/16/1990,1.404245359
11/19/1990,1.401793145
11/20/1990,1.403534258
11/21/1990,1.407087698
11/23/1990,1.406803877
11/26/1990,1.407179552
11/27/1990,1.407566581
11/28/1990,1.406532441
11/29/1990,1.404039976
11/30/1990,1.409102311
12/3/1990,1.410852713
12/4/1990,1.415468159
12/5/1990,1.415834546
12/6/1990,1.41904224
12/7/1990,1.432897867
12/10/1990,1.437553564
12/11/1990,1.440736488
12/12/1990,1.442482761
12/13/1990,1.43841638
12/14/1990,1.432535608
12/17/1990,1.434239566
12/18/1990,1.436039508
12/19/1990,1.435002271
12/20/1990,1.431044258
12/21/1990,1.427766383
12/24/1990,1.422802095
12/26/1990,1.426046943
12/27/1990,1.429255669
12/28/1990,1.430477648
12/31/1990,1.433892789
1/2/1991,1.441437268
1/3/1991,1.447535808
1/4/1991,1.442911073
1/7/1991,1.433162079
1/8/1991,1.430668582
1/9/1991,1.425396735
1/10/1991,1.431468441
1/11/1991,1.4297232
1/14/1991,1.428571402
1/15/1991,1.428983201
1/16/1991,1.428029562
1/17/1991,1.444185688
1/18/1991,1.446807162
1/21/1991,1.444389007
1/22/1991,1.444767779
1/23/1991,1.446586298
1/24/1991,1.449837339
1/25/1991,1.446657511
1/28/1991,1.445746187
1/29/1991,1.447546129
1/30/1991,1.446468641
1/31/1991,1.448231428
2/1/1991,1.460874365
2/4/1991,1.464123342
2/5/1991,1.468821354
2/6/1991,1.46917742
2/7/1991,1.469540711
2/8/1991,1.474951888
2/11/1991,1.476767311
2/12/1991,1.477138858
2/13/1991,1.477504214
2/14/1991,1.479302091
2/15/1991,1.482207386
2/19/1991,1.47968912
2/20/1991,1.477169821
2/21/1991,1.477526919
2/22/1991,1.475766197
2/25/1991,1.474529769
2/26/1991,1.470575884
2/27/1991,1.469529358
2/28/1991,1.468478705
3/1/1991,1.462330625
3/4/1991,1.462703204
3/5/1991,1.465996561
3/6/1991,1.467803726
3/7/1991,1.471102243
3/8/1991,1.467985372
3/11/1991,1.47270093
3/12/1991,1.47311376
3/13/1991,1.477841703
3/14/1991,1.479698408
3/15/1991,1.473559617
3/18/1991,1.471025869
3/19/1991,1.465609532
3/20/1991,1.468993711
3/21/1991,1.473846534
3/22/1991,1.473751583
3/25/1991,1.477320504
3/26/1991,1.476534062
3/27/1991,1.481557178
3/28/1991,1.487153097
4/1/1991,1.489026316
4/2/1991,1.4923238
4/3/1991,1.491237024
4/4/1991,1.497463541
4/5/1991,1.49855135
4/8/1991,1.501793102
4/9/1991,1.500714582
4/10/1991,1.496685355
4/11/1991,1.49556452
4/12/1991,1.503980072
4/15/1991,1.507141323
4/16/1991,1.507514934
4/17/1991,1.512296545
4/18/1991,1.50530113
4/19/1991,1.501911791
4/22/1991,1.497774196
4/23/1991,1.499584458
4/24/1991,1.507266204
4/25/1991,1.5075975
4/26/1991,1.507586148
4/29/1991,1.50802478
4/30/1991,1.511519391
5/1/1991,1.514995425
5/2/1991,1.518385796
5/3/1991,1.513821954
5/6/1991,1.514289484
5/7/1991,1.514800362
5/8/1991,1.515269957
5/9/1991,1.515722007
5/10/1991,1.511283046
5/13/1991,1.513234702
5/14/1991,1.509289074
5/15/1991,1.51129027
5/16/1991,1.511743352
5/17/1991,1.516068784
5/20/1991,1.515010906
5/21/1991,1.5169863
5/22/1991,1.517423901
5/23/1991,1.516376343
5/24/1991,1.517949228
5/28/1991,1.519659378
5/29/1991,1.520085626
5/30/1991,1.526337946
5/31/1991,1.522870168
6/3/1991,1.518712964
6/4/1991,1.519070063
6/5/1991,1.514936596
6/6/1991,1.513796152
6/7/1991,1.508883468
6/10/1991,1.509235406
6/11/1991,1.511069406
6/12/1991,1.506909105
6/13/1991,1.507237306
6/14/1991,1.5111561
6/17/1991,1.511500814
6/18/1991,1.510330439
6/19/1991,1.510711275
6/20/1991,1.517041
6/21/1991,1.51511721
6/24/1991,1.515532105
6/25/1991,1.51439682
6/26/1991,1.514752887
6/27/1991,1.516585855
6/28/1991,1.525254265
7/1/1991,1.522628663
7/2/1991,1.522923836
7/3/1991,1.525050946
7/5/1991,1.520091819
7/8/1991,1.520462334
7/9/1991,1.519236227
7/10/1991,1.521072291
7/11/1991,1.525893121
7/12/1991,1.531375511
7/15/1991,1.531703711
7/16/1991,1.533508813
7/17/1991,1.530839863
7/18/1991,1.529683938
7/19/1991,1.532156793
7/22/1991,1.533981504
7/23/1991,1.532792552
7/24/1991,1.537626798
7/25/1991,1.540963502
7/26/1991,1.541940878
7/29/1991,1.543726371
7/30/1991,1.544051475
7/31/1991,1.547256072
8/1/1991,1.546056799
8/2/1991,1.559086765
8/5/1991,1.559406709
8/6/1991,1.565808679
8/7/1991,1.567629262
