Date,VIMSX
2000-02-02,7.76829372
2000-02-03,7.872147365
2000-02-04,7.837529483
2000-02-07,7.872147365
2000-02-08,7.976001009
2000-02-09,7.823678595
2000-02-10,7.934460796
2000-02-11,7.816756264
2000-02-14,7.816756264
2000-02-15,7.837529483
2000-02-16,7.851374146
2000-02-17,7.948305459
2000-02-18,7.740598169
2000-02-22,7.712902619
2000-02-23,7.858296477
2000-02-24,7.941383128
2000-02-25,7.879069696
2000-02-28,7.906765246
2000-02-29,8.135245755
2000-03-01,8.26679495
2000-03-02,8.211403849
2000-03-03,8.446806689
2000-03-06,8.446806689
2000-03-07,8.405266476
2000-03-08,8.349875376
2000-03-09,8.509120121
2000-03-10,8.536815672
2000-03-13,8.308335163
2000-03-14,8.100627873
2000-03-15,8.093699317
2000-03-16,8.592200547
2000-03-17,8.606051435
2000-03-20,8.384493257
2000-03-21,8.529887115
2000-03-22,8.73760063
2000-03-23,8.786063174
2000-03-24,8.806836393
2000-03-27,8.778810912
2000-03-28,8.652696245
2000-03-29,8.491552838
2000-03-30,8.463527357
2000-03-31,8.834861875
2000-04-03,8.491552838
2000-04-04,8.337418915
2000-04-05,8.407476393
2000-04-06,8.575629283
2000-04-07,8.694734467
2000-04-10,8.407476393
2000-04-11,8.400473136
2000-04-12,8.239329729
2000-04-13,8.197291507
2000-04-14,7.615772102
2000-04-17,7.896026917
2000-04-18,8.183278766
2000-04-19,8.155253284
2000-04-20,8.148250027
2000-04-24,8.043157583
2000-04-25,8.372447654
2000-04-26,8.309393433
2000-04-27,8.414485876
2000-04-28,8.526587803
2000-05-01,8.638683504
2000-05-02,8.414485876
2000-05-03,8.239329729
2000-05-04,8.491552838
2000-05-05,8.589642024
2000-05-08,8.526587803
2000-05-09,8.463527357
2000-05-10,8.21831373
2000-05-11,8.414485876
2000-05-12,8.456524099
2000-05-15,8.547603801
2000-05-16,8.659705728
2000-05-17,8.589642024
2000-05-18,8.48454958
2000-05-19,8.316396691
2000-05-22,8.197291507
2000-05-23,8.064173582
2000-05-24,8.169266025
2000-05-25,8.113215062
2000-05-26,8.113215062
2000-05-30,8.407476393
2000-05-31,8.414485876
2000-06-01,8.673718468
2000-06-02,8.897916096
2000-06-05,8.792823652
2000-06-06,8.75078543
2000-06-07,8.785814169
2000-06-08,8.701737725
2000-06-09,8.778810912
2000-06-12,8.631680246
2000-06-13,8.722759949
2000-06-14,8.680721726
2000-06-15,8.785814169
2000-06-16,8.806836393
2000-06-19,8.918932094
2000-06-20,8.9679798
2000-06-21,8.939954318
2000-06-22,8.743775947
2000-06-23,8.673718468
2000-06-26,8.708747208
2000-06-27,8.589642024
2000-06-28,8.722759949
2000-06-29,8.729763206
2000-06-30,8.554607059
2000-07-03,8.722759949
2000-07-05,8.596645281
2000-07-06,8.729763206
2000-07-07,8.827852392
2000-07-10,8.939954318
2000-07-11,8.996005281
2000-07-12,9.122113723
2000-07-13,9.143135947
2000-07-14,9.185167944
2000-07-17,9.199180685
2000-07-18,9.080075501
2000-07-19,8.98199254
2000-07-20,9.080075501
2000-07-21,8.953967059
2000-07-24,8.855877873
2000-07-25,8.841865133
2000-07-26,8.813839651
2000-07-27,8.680721726
2000-07-28,8.575629283
2000-07-31,8.687731209
2000-08-01,8.743775947
2000-08-02,8.813839651
2000-08-03,8.897916096
2000-08-04,8.98199254
2000-08-07,9.101097725
2000-08-08,9.094088242
2000-08-09,9.031034021
2000-08-10,8.9679798
2000-08-11,9.115110465
2000-08-14,9.227206167
2000-08-15,9.136126464
2000-08-16,9.192177427
2000-08-17,9.311282611
2000-08-18,9.304279353
2000-08-21,9.318292094
2000-08-22,9.311282611
2000-08-23,9.353320834
2000-08-24,9.416375055
2000-08-25,9.451410019
2000-08-28,9.472426018
2000-08-29,9.507454757
2000-08-30,9.528476981
2000-08-31,9.661594906
2000-09-01,9.759684091
2000-09-05,9.640578907
2000-09-06,9.619556683
2000-09-07,9.759684091
2000-09-08,9.682610904
2000-09-11,9.696623645
2000-09-12,9.654585423
2000-09-13,9.612553426
2000-09-14,9.710636386
2000-09-15,9.633569424
2000-09-18,9.353320834
2000-09-19,9.458413277
2000-09-20,9.458413277
2000-09-21,9.339308093
2000-09-22,9.381346315
2000-09-25,9.430387795
2000-09-26,9.374336832
2000-09-27,9.416375055
2000-09-28,9.654585423
2000-09-29,9.591531202
2000-10-02,9.458413277
2000-10-03,9.311282611
2000-10-04,9.325295352
2000-10-05,9.311282611
2000-10-06,9.136126464
2000-10-09,9.143135947
2000-10-10,8.960970317
2000-10-11,8.841865133
2000-10-12,8.638683504
2000-10-13,8.932944835
2000-10-16,8.960970317
2000-10-17,8.785814169
2000-10-18,8.764798171
2000-10-19,9.052050019
2000-10-20,9.185167944
2000-10-23,9.192177427
2000-10-24,9.080075501
2000-10-25,8.820849134
2000-10-26,8.925941577
2000-10-27,8.98199254
2000-10-30,9.045046761
2000-10-31,9.269244389
2000-11-01,9.28325713
2000-11-02,9.451410019
2000-11-03,9.430387795
2000-11-06,9.444400536
2000-11-07,9.416375055
2000-11-08,9.311282611
2000-11-09,9.178164686
2000-11-10,8.953967059
2000-11-13,8.79982691
2000-11-14,8.974983058
2000-11-15,9.157148688
2000-11-16,8.98199254
2000-11-17,8.988995798
2000-11-20,8.778810912
2000-11-21,8.813839651
2000-11-22,8.708747208
2000-11-24,8.946957576
2000-11-27,8.996005281
2000-11-28,8.778810912
2000-11-29,8.743775947
2000-11-30,8.575629283
2000-12-01,8.757788688
2000-12-04,8.722759949
2000-12-05,9.045046761
2000-12-06,8.960970317
2000-12-07,8.98199254
2000-12-08,9.423384538
2000-12-11,9.556502462
2000-12-12,9.255231648
2000-12-13,9.094088242
2000-12-14,8.932944835
2000-12-15,8.841865133
2000-12-18,8.974983058
2000-12-19,8.876893872
2000-12-20,8.581231889
2000-12-21,8.641771162
2000-12-22,8.967164309
2000-12-26,9.035267101
2000-12-27,9.216878696
2000-12-28,9.413629778
2000-12-29,9.239581701
2001-01-02,8.846085763
2001-01-03,9.194181915
2001-01-04,9.020133839
2001-01-05,8.755279965
2001-01-08,8.725013441
2001-01-09,8.73257696
2001-01-10,8.959594566
2001-01-11,9.065533625
2001-01-12,9.088236631
2001-01-16,9.088236631
2001-01-17,9.110939636
2001-01-18,9.11850938
2001-01-19,9.020133839
2001-01-22,9.057970107
2001-01-23,9.307684493
2001-01-24,9.315254237
2001-01-25,9.277417969
2001-01-26,9.284987713
2001-01-29,9.459029564
2001-01-30,9.474169051
2001-01-31,9.443896302
2001-02-01,9.406060034
2001-02-02,9.277417969
2001-02-05,9.300120975
2001-02-06,9.413629778
2001-02-07,9.37579351
2001-02-08,9.345520761
2001-02-09,9.307684493
2001-02-12,9.37579351
2001-02-13,9.337957242
2001-02-14,9.368223766
2001-02-15,9.451466045
2001-02-16,9.292551231
2001-02-20,9.14120616
2001-02-21,8.997430833
2001-02-22,8.929328042
2001-02-23,8.921758298
2001-02-26,9.148775904
2001-02-27,8.982297571
2001-02-28,8.906625036
2001-03-01,8.868788768
2001-03-02,8.952024822
2001-03-05,8.967164309
2001-03-06,9.080673112
2001-03-07,9.156345648
2001-03-08,9.073103369
2001-03-09,8.899055292
2001-03-12,8.566098627
2001-03-13,8.619068157
2001-03-14,8.482862573
2001-03-15,8.445026306
2001-03-16,8.24070548
2001-03-19,8.429886818
2001-03-20,8.255844967
2001-03-21,8.089366635
2001-03-22,8.006124356
2001-03-23,8.202869213
2001-03-26,8.295474069
2001-03-27,8.3880727
2001-03-28,8.195156291
2001-03-29,8.179724224
2001-03-30,8.241458719
2001-04-02,8.071687299
2001-04-03,7.809317248
2001-04-04,7.770733966
2001-04-05,8.179724224
2001-04-06,8.025384871
2001-04-09,8.125702649
2001-04-10,8.380359779
2001-04-11,8.372640633
2001-04-12,8.519260839
2001-04-16,8.434375129
2001-04-17,8.52697376
2001-04-18,8.812495026
2001-04-19,8.928244871
2001-04-20,8.851078307
2001-04-23,8.719890169
2001-04-24,8.673593966
2001-04-25,8.866510375
2001-04-26,8.959109006
2001-04-27,9.090297145
2001-04-30,9.152031641
2001-05-01,9.229198204
2001-05-02,9.221479058
2001-05-03,9.074858852
2001-05-04,9.275494407
2001-05-07,9.20604699
2001-05-08,9.20604699
2001-05-09,9.17517663
2001-05-10,9.182895776
2001-05-11,9.128880427
2001-05-14,9.113442134
2001-05-15,9.190614923
2001-05-16,9.422114613
2001-05-17,9.561015673
2001-05-18,9.553296527
2001-05-21,9.815666578
2001-05-22,9.792515364
2001-05-23,9.568728594
2001-05-24,9.599598955
2001-05-25,9.568728594
2001-05-29,9.437546681
2001-05-30,9.244630272
2001-05-31,9.368099264
2001-06-01,9.468417042
2001-06-04,9.537864459
2001-06-05,9.699916733
2001-06-06,9.591879808
2001-06-07,9.622750169
2001-06-08,9.553296527
2001-06-11,9.422114613
2001-06-12,9.414395467
2001-06-13,9.360380118
2001-06-14,9.152031641
2001-06-15,9.152031641
2001-06-18,9.082577998
2001-06-19,9.059426784
2001-06-20,9.198327844
2001-06-21,9.221479058
2001-06-22,9.098010066
2001-06-25,9.043994717
2001-06-26,9.074858852
2001-06-27,9.12116128
2001-06-28,9.213759912
2001-06-29,9.329515982
2001-07-02,9.283213554
2001-07-03,9.283213554
2001-07-05,9.221479058
2001-07-06,9.059426784
2001-07-09,9.043994717
2001-07-10,8.943676939
2001-07-11,8.920525725
2001-07-12,9.113442134
2001-07-13,9.159744562
2001-07-16,9.020843502
2001-07-17,9.128880427
2001-07-18,9.105729212
2001-07-19,9.136593348
2001-07-20,9.17517663
2001-07-23,9.090297145
2001-07-24,8.889661589
2001-07-25,8.982260221
2001-07-26,9.128880427
2001-07-27,9.190614923
2001-07-30,9.190614923
2001-07-31,9.198327844
2001-08-01,9.244630272
2001-08-02,9.236911126
2001-08-03,9.213759912
2001-08-06,9.105729212
2001-08-07,9.082577998
2001-08-08,8.943676939
2001-08-09,8.951396085
2001-08-10,8.982260221
2001-08-13,9.051713863
2001-08-14,9.074858852
2001-08-15,9.059426784
2001-08-16,9.059426784
2001-08-17,8.920525725
2001-08-20,8.951396085
2001-08-21,8.881942443
2001-08-22,8.982260221
2001-08-23,8.982260221
2001-08-24,9.074858852
2001-08-27,9.067145931
2001-08-28,8.966828153
2001-08-29,8.951396085
2001-08-30,8.843359161
2001-08-31,8.89737451
2001-09-04,8.874229521
2001-09-05,8.766192597
2001-09-06,8.627291538
2001-09-07,8.480671332
2001-09-10,8.418943061
2001-09-11,8.418943061
2001-09-12,8.418943061
2001-09-13,8.418943061
2001-09-14,8.418943061
2001-09-17,8.01767195
2001-09-18,7.886483811
2001-09-19,7.732150684
2001-09-20,7.438916497
2001-09-21,7.292302516
2001-09-24,7.531515129
2001-09-25,7.554666343
2001-09-26,7.469786858
2001-09-27,7.600968771
2001-09-28,7.79388518
2001-10-01,7.654984121
2001-10-02,7.747588977
2001-10-03,7.986801589
2001-10-04,8.01767195
2001-10-05,7.9636566
2001-10-08,7.894202958
2001-10-09,7.894202958
2001-10-10,8.117989728
2001-10-11,8.295474069
2001-10-12,8.218307505
2001-10-15,8.195156291
2001-10-16,8.287754923
2001-10-17,8.071687299
2001-10-18,8.002239882
2001-10-19,8.10255766
2001-10-22,8.226020427
2001-10-23,8.210588359
2001-10-24,8.226020427
2001-10-25,8.364921486
2001-10-26,8.434375129
2001-10-29,8.249171641
2001-10-30,8.094838513
2001-10-31,8.141140942
2001-11-01,8.280042001
2001-11-02,8.30318699
2001-11-05,8.411223914
2001-11-06,8.519260839
2001-11-07,8.52697376
2001-11-08,8.47295841
2001-11-09,8.480671332
2001-11-12,8.511541692
2001-11-13,8.66587482
2001-11-14,8.673593966
2001-11-15,8.61185947
2001-11-16,8.619572391
2001-11-19,8.735328462
2001-11-20,8.673593966
2001-11-21,8.635010684
2001-11-23,8.735328462
2001-11-26,8.83564624
2001-11-27,8.827927093
2001-11-28,8.689026034
2001-11-29,8.820207947
2001-11-30,8.743041383
2001-12-03,8.69674518
2001-12-04,8.866510375
2001-12-05,9.105729212
2001-12-06,9.144312494
2001-12-07,9.098010066
2001-12-10,8.966828153
2001-12-11,8.982260221
2001-12-12,8.959109006
2001-12-13,8.820207947
2001-12-14,8.889661589
2001-12-17,8.982260221
2001-12-18,9.090297145
2001-12-19,9.074858852
2001-12-20,8.966828153
2001-12-21,9.074858852
2001-12-24,9.105729212
2001-12-26,9.182895776
2001-12-27,9.229198204
2001-12-28,9.310224341
2001-12-31,9.193453576
2002-01-02,9.162315536
2002-01-03,9.255729658
2002-01-04,9.372494197
2002-01-07,9.286867698
2002-01-08,9.279086301
2002-01-09,9.279086301
2002-01-10,9.294655321
2002-01-11,9.201241199
2002-01-14,9.061120016
2002-01-15,9.123396098
2002-01-16,8.975487292
2002-01-17,9.092258057
2002-01-18,8.998843935
2002-01-22,8.928780231
2002-01-23,9.076689037
2002-01-24,9.146746515
2002-01-25,9.185672179
2002-01-28,9.185672179
2002-01-29,9.014412955
2002-01-30,9.123396098
2002-01-31,9.146746515
2002-02-01,9.131177495
2002-02-04,8.936567854
2002-02-05,8.920998834
2002-02-06,8.858722752
2002-02-07,8.780877651
2002-02-08,8.975487292
2002-02-11,9.107827077
2002-02-12,9.076689037
2002-02-13,9.170103158
2002-02-14,9.138965118
2002-02-15,9.061120016
2002-02-19,8.897642191
2002-02-20,9.022194353
2002-02-21,8.913211211
2002-02-22,8.998843935
2002-02-25,9.115608475
2002-02-26,9.170103158
2002-02-27,9.209022597
2002-02-28,9.162315536
2002-03-01,9.341362382
2002-03-04,9.582679084
2002-03-05,9.567110064
2002-03-06,9.699443624
2002-03-07,9.660524186
2002-03-08,9.746150685
2002-03-11,9.746150685
2002-03-12,9.707231246
2002-03-13,9.652736563
2002-03-14,9.668305583
2002-03-15,9.747706964
2002-03-18,9.82606875
2002-03-19,9.841737373
2002-03-20,9.724200918
2002-03-21,9.786887857
2002-03-22,9.716363495
2002-03-25,9.567483571
2002-03-26,9.669351403
2002-03-27,9.779050434
2002-03-28,9.810393903
2002-04-01,9.810393903
2002-04-02,9.716363495
2002-04-03,9.583158418
2002-04-04,9.614501888
2002-04-05,9.614501888
2002-04-08,9.732038342
2002-04-09,9.708532296
2002-04-10,9.865243419
2002-04-11,9.732038342
2002-04-12,9.833899949
2002-04-15,9.82606875
2002-04-16,9.982779873
2002-04-17,9.982779873
2002-04-18,9.943605205
2002-04-19,9.974948674
2002-04-22,9.833899949
2002-04-23,9.82606875
2002-04-24,9.739875766
2002-04-25,9.77121301
2002-04-26,9.653676556
2002-04-29,9.59882704
2002-04-30,9.763381811
2002-05-01,9.794725281
2002-05-02,9.77121301
2002-05-03,9.708532296
2002-05-06,9.567483571
2002-05-07,9.536140101
2002-05-08,9.794725281
2002-05-09,9.653676556
2002-05-10,9.559652372
2002-05-13,9.692857449
2002-05-14,9.920092934
2002-05-15,9.888749464
2002-05-16,9.841737373
2002-05-17,9.904424312
2002-05-20,9.786887857
