Date,VGTSX
1998-01-28,5.845837955
1998-01-29,5.840102034
1998-01-30,5.834366114
1998-02-02,5.954837042
1998-02-03,6.012207311
1998-02-04,6.023679152
1998-02-05,6.098257184
1998-02-06,6.109729025
1998-02-09,6.092521263
1998-02-10,6.126942318
1998-02-11,6.13841416
1998-02-12,6.092521263
1998-02-13,6.017943232
1998-02-17,6.069572049
1998-02-18,6.092521263
1998-02-19,6.075313501
1998-02-20,6.081049422
1998-02-23,6.109729025
1998-02-24,6.063836128
1998-02-25,6.126942318
1998-02-26,6.172835215
1998-02-27,6.235941405
1998-03-02,6.33346865
1998-03-03,6.310519436
1998-03-04,6.235941405
1998-03-05,6.13841416
1998-03-06,6.218733643
1998-03-09,6.241677326
1998-03-10,6.258890619
1998-03-11,6.241677326
1998-03-12,6.241677326
1998-03-13,6.350676412
1998-03-16,6.32773273
1998-03-17,6.379361547
1998-03-18,6.33346865
1998-03-19,6.373625626
1998-03-20,6.402310761
1998-03-23,6.436731816
1998-03-24,6.453939579
1998-03-25,6.505573927
1998-03-26,6.517045768
1998-03-27,6.517045768
1998-03-30,6.419518523
1998-03-31,6.436731816
1998-04-01,6.453939579
1998-04-02,6.430995896
1998-04-03,6.425259975
1998-04-06,6.505573927
1998-04-07,6.505573927
1998-04-08,6.528523141
1998-04-09,6.614573014
1998-04-13,6.603101172
1998-04-14,6.666207362
1998-04-15,6.677679204
1998-04-16,6.557202745
1998-04-17,6.522781689
1998-04-20,6.568680117
1998-04-21,6.597365252
1998-04-22,6.574416038
1998-04-23,6.511309848
1998-04-24,6.488360634
1998-04-27,6.321996809
1998-04-28,6.362153785
1998-04-29,6.367889706
1998-04-30,6.471152872
1998-05-01,6.517045768
1998-05-04,6.585887879
1998-05-05,6.562944196
1998-05-06,6.528523141
1998-05-07,6.448203658
1998-05-08,6.465416951
1998-05-11,6.528523141
1998-05-12,6.465416951
1998-05-13,6.453939579
1998-05-14,6.442467737
1998-05-15,6.436731816
1998-05-18,6.321996809
1998-05-19,6.39083892
1998-05-20,6.465416951
1998-05-21,6.528523141
1998-05-22,6.534259062
1998-05-26,6.528523141
1998-05-27,6.385097468
1998-05-28,6.373625626
1998-05-29,6.373625626
1998-06-01,6.304783516
1998-06-02,6.350676412
1998-06-03,6.39657484
1998-06-04,6.39657484
1998-06-05,6.419518523
1998-06-08,6.436731816
1998-06-09,6.425259975
1998-06-10,6.321996809
1998-06-11,6.20152035
1998-06-12,6.121206398
1998-06-15,5.977786256
1998-06-16,6.040892446
1998-06-17,6.235941405
1998-06-18,6.287575754
1998-06-19,6.276098381
1998-06-22,6.195784429
1998-06-23,6.212992191
1998-06-24,6.224469564
1998-06-25,6.287575754
1998-06-26,6.258890619
1998-06-29,6.293311674
1998-06-30,6.356417864
1998-07-01,6.448203658
1998-07-02,6.448203658
1998-07-06,6.488360634
1998-07-07,6.522781689
1998-07-08,6.528523141
1998-07-09,6.45968103
1998-07-10,6.419518523
1998-07-13,6.488360634
1998-07-14,6.585887879
1998-07-15,6.620308935
1998-07-16,6.65472999
1998-07-17,6.71783618
1998-07-20,6.763729077
1998-07-21,6.700628418
1998-07-22,6.574416038
1998-07-23,6.528523141
1998-07-24,6.545730903
1998-07-27,6.419518523
1998-07-28,6.430995896
1998-07-29,6.408046682
1998-07-30,6.45968103
1998-07-31,6.425259975
1998-08-03,6.304783516
1998-08-04,6.276098381
1998-08-05,6.20725627
1998-08-06,6.132678239
1998-08-07,6.155627453
1998-08-10,6.040892446
1998-08-11,5.863045717
1998-08-12,5.926151907
1998-08-13,5.87452309
1998-08-14,5.897466772
1998-08-17,5.87452309
1998-08-18,6.012207311
1998-08-19,6.075313501
1998-08-20,6.040892446
1998-08-21,5.822888741
1998-08-24,5.840102034
1998-08-25,5.908944145
1998-08-26,5.771259924
1998-08-27,5.587677274
1998-08-28,5.547520298
1998-08-31,5.547520298
1998-09-01,5.564733592
1998-09-02,5.667996758
1998-09-03,5.633575702
1998-09-04,5.627839782
1998-09-08,5.863045717
1998-09-09,5.75404663
1998-09-10,5.639311623
1998-09-11,5.604890568
1998-09-14,5.708153734
1998-09-15,5.731102948
1998-09-16,5.74831071
1998-09-17,5.610626488
1998-09-18,5.530312536
1998-09-21,5.369679101
1998-09-22,5.455734505
1998-09-23,5.553256219
1998-09-24,5.587677274
1998-09-25,5.513099243
1998-09-28,5.564733592
1998-09-29,5.570469512
1998-09-30,5.432785291
1998-10-01,5.266415935
1998-10-02,5.191837904
1998-10-05,5.094310658
1998-10-06,5.260680014
1998-10-07,5.449993053
1998-10-08,5.277887776
1998-10-09,5.35820726
1998-10-12,5.576205433
1998-10-13,5.581941354
1998-10-14,5.62209833
1998-10-15,5.702417813
1998-10-16,5.857309796
1998-10-19,5.857309796
1998-10-20,5.966308883
1998-10-21,5.931887828
1998-10-22,5.931887828
1998-10-23,5.920415986
1998-10-26,5.891730852
1998-10-27,5.960572962
1998-10-28,5.885994931
1998-10-29,5.9433652
1998-10-30,6.017943232
1998-11-02,6.178571136
1998-11-03,6.149891532
1998-11-04,6.27036246
1998-11-05,6.212992191
1998-11-06,6.190048508
1998-11-09,6.058100208
1998-11-10,5.994994018
1998-11-11,6.081049422
1998-11-12,5.977786256
1998-11-13,6.023679152
1998-11-16,6.184312588
1998-11-17,6.149891532
1998-11-18,6.167099294
1998-11-19,6.247413246
1998-11-20,6.33346865
1998-11-23,6.39083892
1998-11-24,6.402310761
1998-11-25,6.362153785
1998-11-27,6.442467737
1998-11-30,6.339204571
1998-12-01,6.20725627
1998-12-02,6.212992191
1998-12-03,6.235941405
1998-12-04,6.247413246
1998-12-07,6.247413246
1998-12-08,6.27036246
1998-12-09,6.339204571
1998-12-10,6.339204571
1998-12-11,6.258890619
1998-12-14,6.224469564
1998-12-15,6.224469564
1998-12-16,6.27036246
1998-12-17,6.321996809
1998-12-18,6.350676412
1998-12-21,6.436731816
1998-12-22,6.402310761
1998-12-23,6.482624713
1998-12-24,6.453939579
1998-12-28,6.499838006
1998-12-29,6.545730903
1998-12-30,6.51648158
1998-12-31,6.545730903
1999-01-04,6.674421289
1999-01-05,6.721221313
1999-01-06,6.826514453
1999-01-07,6.791413052
1999-01-08,6.756317183
1999-01-11,6.697824067
1999-01-12,6.598377473
1999-01-13,6.422887063
1999-01-14,6.446289841
1999-01-15,6.487237787
1999-01-19,6.592530927
1999-01-20,6.65687612
1999-01-21,6.615928173
1999-01-22,6.46383501
1999-01-25,6.46383501
1999-01-26,6.487237787
1999-01-27,6.48138571
1999-01-28,6.48138571
1999-01-29,6.504782956
1999-02-01,6.56912815
1999-02-02,6.592530927
1999-02-03,6.51648158
1999-02-04,6.493084333
1999-02-05,6.446289841
1999-02-08,6.399489817
1999-02-09,6.311747377
1999-02-10,6.27079943
1999-02-11,6.335144623
1999-02-12,6.387791193
1999-02-16,6.370240493
1999-02-17,6.329292546
1999-02-18,6.317593923
1999-02-19,6.288350131
1999-02-22,6.335144623
1999-02-23,6.370240493
1999-02-24,6.41118844
1999-02-25,6.399489817
1999-02-26,6.364393947
1999-03-01,6.282498053
1999-03-02,6.264947353
1999-03-03,6.235703561
1999-03-04,6.223999406
1999-03-05,6.393643271
1999-03-08,6.399489817
1999-03-09,6.446289841
1999-03-10,6.528180203
1999-03-11,6.60422955
1999-03-12,6.621774719
1999-03-15,6.645177497
1999-03-16,6.680273367
1999-03-17,6.703670613
1999-03-18,6.645177497
1999-03-19,6.732919937
1999-03-22,6.686119913
1999-03-23,6.592530927
1999-03-24,6.528180203
1999-03-25,6.60422955
1999-03-26,6.539884357
1999-03-29,6.598432786
1999-03-30,6.604284863
1999-03-31,6.680400586
1999-04-01,6.715529643
1999-04-05,6.680400586
1999-04-06,6.785787757
1999-04-07,6.838478577
1999-04-08,6.891174928
1999-04-09,6.891174928
1999-04-12,6.88531732
1999-04-13,6.938013671
1999-04-14,6.973142728
1999-04-15,6.902884614
1999-04-16,6.932156063
1999-04-19,6.973142728
1999-04-20,6.856045871
1999-04-21,6.820916814
1999-04-22,6.88531732
1999-04-23,6.9145943
1999-04-26,6.955575434
1999-04-27,7.055110528
1999-04-28,7.043400843
1999-04-29,7.002414177
1999-04-30,7.019981471
1999-05-03,7.037543234
1999-05-04,7.04925292
1999-05-05,7.014123863
1999-05-06,7.101949271
1999-05-07,7.055110528
1999-05-10,7.072672291
1999-05-11,7.019981471
1999-05-12,6.984852414
1999-05-13,6.990704491
1999-05-14,6.9145943
1999-05-17,6.768220463
1999-05-18,6.815059206
1999-05-19,6.80334952
1999-05-20,6.838478577
1999-05-21,6.815059206
1999-05-24,6.797497443
1999-05-25,6.7506587
1999-05-26,6.715529643
1999-05-27,6.674542977
1999-05-28,6.6686909
1999-06-01,6.733091406
1999-06-02,6.733091406
1999-06-03,6.744801091
1999-06-04,6.762368386
1999-06-07,6.8326265
1999-06-08,6.908736691
1999-06-09,6.943865748
1999-06-10,6.949723357
1999-06-11,7.025833548
1999-06-14,6.949723357
1999-06-15,6.955575434
1999-06-16,6.973142728
1999-06-17,7.025833548
1999-06-18,7.060962605
1999-06-21,7.096091663
1999-06-22,7.090239585
1999-06-23,7.008271785
1999-06-24,6.973142728
1999-06-25,6.990704491
1999-06-28,6.990704491
1999-06-29,6.990704491
1999-06-30,6.961433043
1999-07-01,7.0785299
1999-07-02,7.119511034
1999-07-06,7.195626757
1999-07-07,7.142930405
1999-07-08,7.101949271
1999-07-09,7.107801348
1999-07-12,7.107801348
1999-07-13,7.066820214
1999-07-14,7.113658957
1999-07-15,7.207336442
1999-07-16,7.166349777
1999-07-19,7.219046128
1999-07-20,7.172207385
1999-07-21,7.142930405
1999-07-22,7.066820214
1999-07-23,6.978994806
1999-07-26,6.984852414
1999-07-27,7.002414177
1999-07-28,7.04925292
1999-07-29,7.025833548
1999-07-30,7.119511034
1999-08-02,7.084381977
1999-08-03,7.090239585
1999-08-04,7.090239585
1999-08-05,6.978994806
1999-08-06,6.949723357
1999-08-09,6.943865748
1999-08-10,6.879465243
1999-08-11,6.861897948
1999-08-12,6.978994806
1999-08-13,7.014123863
1999-08-16,7.084381977
1999-08-17,7.066820214
1999-08-18,7.113658957
1999-08-19,7.113658957
1999-08-20,7.207336442
1999-08-23,7.271736948
1999-08-24,7.236607891
1999-08-25,7.248317577
1999-08-26,7.21318852
1999-08-27,7.207336442
1999-08-30,7.230755814
1999-08-31,7.142930405
1999-09-01,7.254175185
1999-09-02,7.230755814
1999-09-03,7.265884871
1999-09-07,7.277594557
1999-09-08,7.265884871
1999-09-09,7.353710279
1999-09-10,7.295161851
1999-09-13,7.330290908
1999-09-14,7.312723614
1999-09-15,7.289304242
1999-09-16,7.21318852
1999-09-17,7.201478834
1999-09-20,7.248317577
1999-09-21,7.260027262
1999-09-22,7.189769148
1999-09-23,7.189769148
1999-09-24,7.084381977
1999-09-27,7.101949271
1999-09-28,7.125368642
1999-09-29,7.125368642
1999-09-30,7.201478834
1999-10-01,7.224898205
1999-10-04,7.260027262
1999-10-05,7.277594557
1999-10-06,7.306871537
1999-10-07,7.377129651
1999-10-08,7.359562357
1999-10-11,7.388839336
1999-10-12,7.382981728
1999-10-13,7.289304242
1999-10-14,7.283446634
1999-10-15,7.219046128
1999-10-18,7.107801348
1999-10-19,7.183917071
1999-10-20,7.236607891
1999-10-21,7.224898205
1999-10-22,7.289304242
1999-10-25,7.283446634
1999-10-26,7.306871537
1999-10-27,7.254175185
1999-10-28,7.318581222
1999-10-29,7.470807136
1999-11-01,7.464949528
1999-11-02,7.476659214
1999-11-03,7.494226508
1999-11-04,7.535207642
1999-11-05,7.535207642
1999-11-08,7.517645879
1999-11-09,7.564484622
1999-11-10,7.640594814
1999-11-11,7.675723871
1999-11-12,7.652304499
1999-11-15,7.699143242
1999-11-16,7.705000851
1999-11-17,7.757691671
1999-11-18,7.792820728
1999-11-19,7.798678336
1999-11-22,7.792820728
1999-11-23,7.816240099
1999-11-24,7.757691671
1999-11-26,7.892355822
1999-11-29,7.886498213
1999-11-30,7.775258965
1999-12-01,7.816240099
1999-12-02,7.822097708
1999-12-03,7.92162727
1999-12-06,8.015304756
1999-12-07,8.050433813
1999-12-08,8.03287205
1999-12-09,8.044581736
1999-12-10,8.050433813
1999-12-13,8.038724127
1999-12-14,7.997742993
1999-12-15,7.945046642
1999-12-16,8.027014442
1999-12-17,8.068001107
1999-12-20,8.11483985
1999-12-21,8.103130165
1999-12-22,8.19680765
1999-12-23,8.30805243
1999-12-27,8.343706957
1999-12-28,8.385307593
1999-12-29,8.42096212
1999-12-30,8.504163392
1999-12-31,8.504163392
2000-01-03,8.575477978
2000-01-04,8.397194279
2000-01-05,8.159482681
2000-01-06,8.040621351
2000-01-07,8.171363836
2000-01-10,8.284279058
2000-01-11,8.24862453
2000-01-12,8.236737844
2000-01-13,8.284279058
2000-01-14,8.361534221
2000-01-18,8.302106321
2000-01-19,8.212964472
2000-01-20,8.212964472
2000-01-21,8.177309945
2000-01-24,8.165423259
2000-01-25,8.058454146
2000-01-26,8.123822623
2000-01-27,8.165423259
2000-01-28,8.111935937
2000-01-31,7.975252874
2000-02-01,8.004966824
2000-02-02,8.088168096
2000-02-03,8.272392372
2000-02-04,8.296165744
2000-02-07,8.242678422
2000-02-08,8.355593643
2000-02-09,8.403134857
2000-02-10,8.373420907
2000-02-11,8.361534221
2000-02-14,8.272392372
2000-02-15,8.147595995
2000-02-16,8.207023895
2000-02-17,8.27833848
2000-02-18,8.224851158
2000-02-22,8.159482681
2000-02-23,8.242678422
2000-02-24,8.242678422
2000-02-25,8.284279058
2000-02-28,8.171363836
2000-02-29,8.201077786
2000-03-01,8.343706957
2000-03-02,8.444735493
2000-03-03,8.456622179
2000-03-06,8.468508865
2000-03-07,8.456622179
2000-03-08,8.385307593
2000-03-09,8.456622179
2000-03-10,8.48039002
2000-03-13,8.290219635
2000-03-14,8.272392372
2000-03-15,8.177309945
2000-03-16,8.319933585
2000-03-17,8.367480329
2000-03-20,8.415021543
2000-03-21,8.426908229
2000-03-22,8.373420907
2000-03-23,8.403134857
2000-03-24,8.533877342
2000-03-27,8.557717089
2000-03-28,8.59942835
2000-03-29,8.569631432
2000-03-30,8.402769793
2000-03-31,8.486203378
2000-04-03,8.378930046
2000-04-04,8.361053001
2000-04-05,8.277624947
2000-04-06,8.343175956
2000-04-07,8.408726964
2000-04-10,8.420646838
2000-04-11,8.313379037
2000-04-12,8.307421866
2000-04-13,8.235908155
2000-04-14,8.027329724
2000-04-17,7.836628338
2000-04-18,7.943896139
2000-04-19,7.979650229
2000-04-20,8.01540985
2000-04-24,8.05116394
2000-04-25,8.057126643
2000-04-26,8.069040985
